from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,hr
09:59:06,10:59:06,7,2954,37,1364,09
12:29:14,13:29:14,12277,41702801,18659,3305624,12
13:29:25,14:29:25,220,449806,281,45937,13
14:34:19,15:34:19,191,1066381,305,320334,14
15:34:31,16:34:31,139,273226,171,35936,15
16:41:01,17:41:01,41,111200,111,36489,16
17:43:58,18:43:58,412,1490956,519,320334,17
18:44:04,19:44:04,146,240131,190,36489,18
19:46:50,20:46:50,179,670815,755,177434,19
20:47:05,21:47:05,114,324732,158,92610,20
07:46:52,08:46:52,2135,7636954,3105,2558472,07
08:46:53,09:46:53,273,521182,315,88154,08
09:53:55,10:53:55,747,3017016,1196,582890,09
10:55:44,11:55:44,664,7783744,1388,4721206,10
12:04:01,13:04:01,3069,8395472,4436,665769,12
13:04:04,14:04:04,1167,2500453,1672,193919,13
14:17:51,15:17:51,1388,3668961,2318,267675,14
15:18:44,16:18:44,5546,20019613,9408,4721903,15
17:01:39,18:01:39,926,2792567,1366,651795,17
19:31:39,20:31:39,5397,21226719,7928,4721903,19
01:24:05,02:24:05,2563,6764790,3899,426318,01
02:47:40,03:47:40,343,956804,458,308512,02
03:48:55,04:48:55,186,394765,252,39730,03
04:49:13,05:49:13,226,805312,321,118208,04
05:49:16,06:49:16,112,901718,171,508706,05
12:04:56,13:04:56,1270,7143003,2472,1170920,12
21:39:56,22:39:56,905,2840098,1324,320335,21
22:44:31,23:44:31,2393,8068622,3496,1300901,22
23:46:16,00:46:16,96,86217,113,5395,23
00:47:11,01:47:11,101,195425,110,17186,00
01:48:12,02:48:12,100,259099,113,80638,01
02:49:16,03:49:16,87,77497,107,7604,02
03:49:42,04:49:42,97,316086,126,48521,03
04:49:54,05:49:54,90,208002,117,27122,04
05:50:21,06:50:21,85,235372,105,62632,05
06:50:49,07:50:49,9,9640,10,2693,06
21:11:06,22:11:06,921,5264511,1537,1237838,21
15:08:51,16:08:51,11746,33856221,21112,4900781,15
15:59:49,16:59:49,4458,11329374,6421,597904,15
05:24:13,06:24:13,404,6694584,701,4721701,05
10:03:56,11:03:56,129773,704387793,209045,9623882,10
11:04:05,12:04:05,1228,5132228,1732,1231800,11
12:04:06,13:04:06,1523,6250161,2569,702289,12
13:04:07,14:04:07,1231,4510004,1821,494835,13
14:04:08,15:04:08,1501,15549544,2106,6014382,14
15:04:11,16:04:11,1327,13480497,1891,5870465,15
16:04:13,17:04:13,1087,3786524,3118,494835,16
17:04:17,18:04:17,949,4518901,1738,1037236,17
18:04:29,19:04:29,1045,2426790,1291,110621,18
19:04:35,20:04:35,771,3816397,1126,1084185,19
20:04:36,21:04:36,775,5329656,957,3329932,20
21:04:37,22:04:37,706,1953643,1030,363249,21
22:04:38,23:04:38,595,1758611,790,284931,22
23:04:43,00:04:43,468,3526957,504,948920,23
00:05:04,01:05:04,411,2641154,444,1231800,00
01:05:07,02:05:07,377,2246766,433,1354526,01
02:05:08,03:05:08,419,4268679,477,3329937,02
03:05:09,04:05:09,395,1743154,568,578967,03
04:05:14,05:05:14,518,3814858,714,2266874,04
05:05:15,06:05:15,647,4281297,935,2266874,05
06:05:18,07:05:18,713,5357596,904,2266874,06
07:05:23,08:05:23,797,3409294,1081,1110310,07
08:05:32,09:05:32,1048,8021531,1365,2266874,08
09:05:35,10:05:35,1021,6755222,1336,2538424,09
10:05:36,11:05:36,1071,3777584,1327,708800,10
11:05:44,12:05:44,972,6775537,1308,2538424,11
12:05:46,13:05:46,1092,5381418,1390,2266890,12
13:05:59,14:05:59,951,3256020,1491,284931,13
14:06:09,15:06:09,650,2137499,952,159696,14
15:06:13,16:06:13,1021,3867767,1479,300864,15
16:06:20,17:06:20,716,3465447,952,320335,16
17:06:26,18:06:26,747,3922843,945,1784318,17
18:06:39,19:06:39,457,999984,546,52980,18
19:06:40,20:06:40,212,535834,246,121421,19
20:06:54,21:06:54,494,1167073,667,173006,20
21:07:15,22:07:15,499,1147634,563,110621,21
22:07:33,23:07:33,368,1024001,414,320335,22
23:09:41,00:09:41,296,2354984,337,1784318,23
00:09:54,01:09:54,282,473535,303,24868,00
01:10:08,02:10:08,222,569150,239,46322,01
02:10:09,03:10:09,247,457512,296,16559,02
03:10:12,04:10:12,273,1120964,317,121993,03
04:10:13,05:10:13,354,955148,396,121421,04
05:10:16,06:10:16,426,1379905,477,128233,05
06:12:08,07:12:08,541,1897210,634,381552,06
07:12:11,08:12:11,745,1747069,888,111866,07
08:12:23,09:12:23,780,2934381,987,579336,08
09:12:33,10:12:33,933,4052059,1240,708801,09
10:12:38,11:12:38,780,2104201,978,159696,10
11:12:45,12:12:45,736,2394544,894,285833,11
12:12:59,13:12:59,586,3812241,1958,578967,12
13:13:01,14:13:01,761,4917370,1056,2538458,13
14:13:05,15:13:05,658,2372271,891,320335,14
15:13:06,16:13:06,779,2650555,1068,578967,15
16:13:09,17:13:09,520,1929039,633,320335,16
17:13:32,18:13:32,548,1903807,652,494835,17
18:13:46,19:13:46,539,1862269,710,320335,18
19:13:54,20:13:54,476,1222337,593,91814,19
20:14:07,21:14:07,271,523299,391,51055,20
21:15:28,22:15:28,711,1450637,798,78967,21
22:15:40,23:15:40,411,1303787,457,284931,22
23:17:03,00:17:03,316,653505,339,32103,23
00:17:09,01:17:09,263,4235717,340,3273864,00
01:17:45,02:17:45,244,665708,258,51055,01
02:18:55,03:18:55,218,383658,235,12236,02
03:19:22,04:19:22,246,736712,290,155451,03
04:19:52,05:19:52,416,3591421,465,2538458,04
05:20:01,06:20:01,375,1034679,489,121421,05
06:20:07,07:20:07,550,1149348,644,62450,06
07:20:08,08:20:08,540,2236769,672,320335,07
08:20:10,09:20:10,640,1579752,804,148718,08
09:20:11,10:20:11,616,2209210,823,168071,09
10:20:15,11:20:15,638,2214038,881,320335,10
11:20:35,12:20:35,758,2797030,1224,381552,11
12:20:41,13:20:41,701,2289342,867,148718,12
13:20:52,14:20:52,492,1278088,565,121421,13
15:17:32,16:17:32,1364,4512364,1658,320335,15
16:17:35,17:17:35,621,1508428,1211,99314,16
17:17:37,18:17:37,545,2549440,662,494835,17
18:17:38,19:17:38,591,1253614,681,114845,18
19:17:56,20:17:56,266,810087,309,68788,19
20:17:57,21:17:57,477,872125,679,62279,20
21:18:14,22:18:14,450,1162348,520,284931,21
22:18:24,23:18:24,205,446420,227,32103,22
23:20:17,00:20:17,258,1272969,285,723735,23
00:20:18,01:20:18,295,618554,312,35537,00
01:23:06,02:23:06,257,666867,280,66893,01
02:23:32,03:23:32,305,550990,333,51055,02
03:24:02,04:24:02,301,841731,335,51055,03
04:24:06,05:24:06,406,1069638,457,121993,04
05:25:02,06:25:02,254,832773,319,121421,05
06:25:05,07:25:05,691,3352915,943,855174,06
07:25:07,08:25:07,744,1745583,880,121421,07
08:25:08,09:25:08,768,3436358,987,855174,08
09:25:13,10:25:13,827,2886195,1079,494835,09
10:25:14,11:25:14,1005,2915516,1294,320335,10
11:25:15,12:25:15,1210,4012934,1716,494835,11
12:27:24,13:27:24,977,5498684,1387,2266890,12
13:27:35,14:27:35,777,2955853,1100,398531,13
14:27:40,15:27:40,855,5262916,1153,1377668,14
15:27:42,16:27:42,693,2758787,875,441377,15
16:27:44,17:27:44,604,1868469,694,320335,16
17:27:59,18:27:59,698,2898773,905,1377668,17
18:28:23,19:28:23,619,1974278,1088,285833,18
19:28:25,20:28:25,667,1584678,774,284931,19
20:29:04,21:29:04,712,952113,776,51055,20
21:29:05,22:29:05,428,974493,465,92234,21
22:29:07,23:29:07,306,736447,339,51055,22
23:29:20,00:29:20,141,338211,151,51055,23
02:55:24,03:55:24,1,979,1,979,02
04:13:52,05:13:52,2,366,3,342,04
05:43:11,06:43:11,1,209,1,209,05
07:00:05,08:00:05,2,1394,2,1057,07
08:21:12,09:21:12,3,5071,4,2383,08
